code,name,star,category
f001,メダカ,1,魚
f002,ヒメダカ,1,魚
f003,アカヒレ,1,魚
f004,ドジョウ,1,魚
f005,タナゴ,1,魚
f006,モツゴ,1,魚
f007,オイカワ,1,魚
f008,カワムツ,1,魚
f009,ヨシノボリ,1,魚
f010,マハゼ,1,魚
f011,チチブ,1,魚
f012,トビハゼ,1,魚
f013,ムツゴロウ,1,魚
f014,シラス,1,魚
f015,カタクチイワシ,1,魚
f016,マイワシ,1,魚
f017,ウルメイワシ,1,魚
f018,キビナゴ,1,魚
f019,コノシロ,1,魚
f020,サッパ,1,魚
f021,ネンブツダイ,1,魚
f022,オヤビッチャ,1,魚
f023,クサフグ,1,魚
f024,アサリ,1,貝
f025,シジミ,1,貝
f026,ハマグリ,1,貝
f027,バカガイ,1,貝
f028,マテガイ,1,貝
f029,ムラサキイガイ,1,貝
f030,タマキビ,1,貝
f031,ヒザラガイ,1,貝
f032,マツバガイ,1,貝
f033,フジツボ,1,甲殻
f034,カメノテ,1,甲殻
f035,イソガニ,1,甲殻
f036,ケフサイソガニ,1,甲殻
f037,アカテガニ,1,甲殻
f038,スナガニ,1,甲殻
f039,コメツキガニ,1,甲殻
f040,ホンヤドカリ,1,甲殻
f041,スジエビ,1,甲殻
f042,テナガエビ,1,甲殻
f043,ヨコエビ,1,甲殻
f044,アミ,1,甲殻
f045,フナムシ,1,甲殻
f046,ゴカイ,1,その他
f047,イソメ,1,その他
f048,アオサ,1,海藻
f049,アオノリ,1,海藻
f050,ヒトエグサ,1,海藻
f051,アマモ,1,海藻
f052,スガモ,1,海藻
f053,イワノリ,1,海藻
f054,ウミウチワ,1,海藻
f055,シオグサ,1,海藻
f056,マアジ,2,魚
f057,マルアジ,2,魚
f058,ムロアジ,2,魚
f059,マサバ,2,魚
f060,ゴマサバ,2,魚
f061,サンマ,2,魚
f062,シロギス,2,魚
f063,メゴチ,2,魚
f064,カワハギ,2,魚
f065,ウマヅラハギ,2,魚
f066,ネズミゴチ,2,魚
f067,ハタハタ,2,魚
f068,ワカサギ,2,魚
f069,シシャモ,2,魚
f070,アユ,2,魚
f071,ヤマメ,2,魚
f072,イワナ,2,魚
f073,ニジマス,2,魚
f074,ウグイ,2,魚
f075,ギンブナ,2,魚
f076,コイ,2,魚
f077,ナマズ,2,魚
f078,ボラ,2,魚
f079,シャコ,2,甲殻
f080,アナジャコ,2,甲殻
f081,サルエビ,2,甲殻
f082,サクラエビ,2,甲殻
f083,アカエビ,2,甲殻
f084,シバエビ,2,甲殻
f085,ガザミ,2,甲殻
f086,イシガニ,2,甲殻
f087,モクズガニ,2,甲殻
f088,サワガニ,2,甲殻
f089,サザエ,2,貝
f090,トコブシ,2,貝
f091,シッタカ,2,貝
f092,イボニシ,2,貝
f093,レイシガイ,2,貝
f094,ツメタガイ,2,貝
f095,アカニシ,2,貝
f096,バイガイ,2,貝
f097,イイダコ,2,頭足
f098,バフンウニ,2,棘皮
f099,ムラサキウニ,2,棘皮
f100,イトマキヒトデ,2,棘皮
f101,ワカメ,2,海藻
f102,メカブ,2,海藻
f103,ヒジキ,2,海藻
f104,モズク,2,海藻
f105,テングサ,2,海藻
f106,メジナ,3,魚
f107,クロダイ,3,魚
f108,キビレ,3,魚
f109,ヘダイ,3,魚
f110,サンバソウ,3,魚
f111,タカノハダイ,3,魚
f112,イサキ,3,魚
f113,ウメイロ,3,魚
f114,カサゴ,3,魚
f115,メバル,3,魚
f116,クロソイ,3,魚
f117,アイナメ,3,魚
f118,ホッケ,3,魚
f119,ギンポ,3,魚
f120,マアナゴ,3,魚
f121,ウツボ,3,魚
f122,ハモ,3,魚
f123,ホウボウ,3,魚
f124,マゴチ,3,魚
f125,ムシガレイ,3,魚
f126,マガレイ,3,魚
f127,イシガレイ,3,魚
f128,メイタガレイ,3,魚
f129,シタビラメ,3,魚
f130,キントキダイ,3,魚
f131,ハタンポ,3,魚
f132,キンギョ,3,魚
f133,リュウキン,3,魚
f134,デメキン,3,魚
f135,ミズクラゲ,3,クラゲ
f136,アカクラゲ,3,クラゲ
f137,マナマコ,3,棘皮
f138,アカナマコ,3,棘皮
f139,クモヒトデ,3,棘皮
f140,マコンブ,3,海藻
f141,アラメ,3,海藻
f142,カジメ,3,海藻
f143,ホンダワラ,3,海藻
f144,マツモ,3,海藻
f145,カヤモノリ,3,海藻
f146,ミルガイ,3,貝
f147,タイラギ,3,貝
f148,マダコ,3,頭足
f149,テナガダコ,3,頭足
f150,ヒイカ,3,頭足
f151,チダイ,4,魚
f152,キダイ,4,魚
f153,イトヨリダイ,4,魚
f154,アマダイ,4,魚
f155,キンメダイ,4,魚
f156,アカムツ,4,魚
f157,ムツ,4,魚
f158,スズキ,4,魚
f159,ヒラスズキ,4,魚
f160,コショウダイ,4,魚
f161,イシガキダイ,4,魚
f162,タカベ,4,魚
f163,シマアジ,4,魚
f164,カイワリ,4,魚
f165,オオモンハタ,4,魚
f166,キジハタ,4,魚
f167,アカハタ,4,魚
f168,ソウシハギ,4,魚
f169,ハコフグ,4,魚
f170,ミナミハコフグ,4,魚
f171,ショウサイフグ,4,魚
f172,ゴンズイ,4,魚
f173,ハオコゼ,4,魚
f174,コウイカ,4,頭足
f175,スルメイカ,4,頭足
f176,ヤリイカ,4,頭足
f177,ケンサキイカ,4,頭足
f178,アオリイカ,4,頭足
f179,タコクラゲ,4,クラゲ
f180,サカサクラゲ,4,クラゲ
f181,ミドリイソギンチャク,4,クラゲ
f182,タテジマイソギンチャク,4,クラゲ
f183,アカヒトデ,4,棘皮
f184,オニヒトデ,4,棘皮
f185,ガンガゼ,4,棘皮
f186,クロアワビ,4,貝
f187,ホタテガイ,4,貝
f188,アカガイ,4,貝
f189,マボヤ,4,その他
f190,シロボヤ,4,その他
f191,マダイ,5,魚
f192,ヒラメ,5,魚
f193,マコガレイ,5,魚
f194,ホシガレイ,5,魚
f195,オヒョウ,5,魚
f196,マトウダイ,5,魚
f197,カガミダイ,5,魚
f198,アカヤガラ,5,魚
f199,タチウオ,5,魚
f200,サワラ,5,魚
f201,カマス,5,魚
f202,イトヒキアジ,5,魚
f203,ツバメウオ,5,魚
f204,ハタタテダイ,5,魚
f205,ツノダシ,5,魚
f206,ナンヨウハギ,5,魚
f207,キイロハギ,5,魚
f208,ゴマチョウチョウウオ,5,魚
f209,モンガラカワハギ,5,魚
f210,ムラサメモンガラ,5,魚
f211,ヒフキアイゴ,5,魚
f212,クルマエビ,5,甲殻
f213,ボタンエビ,5,甲殻
f214,アマエビ,5,甲殻
f215,シラエビ,5,甲殻
f216,オトヒメエビ,5,甲殻
f217,イソギンチャクモエビ,5,甲殻
f218,ハナギンチャク,5,クラゲ
f219,ウメボシイソギンチャク,5,クラゲ
f220,ミル,5,海藻
f221,ウミブドウ,5,海藻
f222,トサカノリ,5,海藻
f223,チンアナゴ,5,魚
f224,ニシキアナゴ,5,魚
f225,ブリ,6,魚
f226,ヒラマサ,6,魚
f227,カンパチ,6,魚
f228,カツオ,6,魚
f229,シイラ,6,魚
f230,クエ,6,魚
f231,マハタ,6,魚
f232,イシナギ,6,魚
f233,オオカミウオ,6,魚
f234,ミノカサゴ,6,魚
f235,ハナミノカサゴ,6,魚
f236,オニダルマオコゼ,6,魚
f237,ウミテング,6,魚
f238,タツノオトシゴ,6,魚
f239,ピグミータツノオトシゴ,6,魚
f240,イセエビ,6,甲殻
f241,ケガニ,6,甲殻
f242,ズワイガニ,6,甲殻
f243,タラバガニ,6,甲殻
f244,ハナサキガニ,6,甲殻
f245,ミズダコ,6,頭足
f246,ヒョウモンダコ,6,頭足
f247,コブシメ,6,頭足
f248,カブトガニ,6,その他
f249,オウムガイ,6,頭足
f250,アカサンゴ,6,サンゴ
f251,シロサンゴ,6,サンゴ
f252,ミドリイシ,6,サンゴ
f253,マカジキ,7,魚
f254,メカジキ,7,魚
f255,バショウカジキ,7,魚
f256,クロカジキ,7,魚
f257,キハダマグロ,7,魚
f258,ビンナガマグロ,7,魚
f259,メバチマグロ,7,魚
f260,マスノスケ,7,魚
f261,イトウ,7,魚
f262,リーフィーシードラゴン,7,魚
f263,ウィーディーシードラゴン,7,魚
f264,ノコギリザメ,7,魚
f265,シュモクザメ,7,魚
f266,ネコザメ,7,魚
f267,オオセ,7,魚
f268,アオウミガメ,7,海獣
f269,タカアシガニ,7,甲殻
f270,ヤシガニ,7,甲殻
f271,オオグソクムシ,7,甲殻
f272,エチゼンクラゲ,7,クラゲ
f273,カツオノエボシ,7,クラゲ
f274,ジンベエザメ,8,魚
f275,オニイトマキエイ,8,魚
f276,ホホジロザメ,8,魚
f277,イタチザメ,8,魚
f278,マンボウ,8,魚
f279,アカマンボウ,8,魚
f280,クロマグロ,8,魚
f281,ナポレオンフィッシュ,8,魚
f282,ミズウオ,8,魚
f283,シャチ,8,海獣
f284,マッコウクジラ,8,海獣
f285,ザトウクジラ,8,海獣
f286,イッカク,8,海獣
f287,ジュゴン,8,海獣
f288,ダイオウグソクムシ,9,甲殻
f289,ラブカ,9,魚
f290,ミツクリザメ,9,魚
f291,チョウチンアンコウ,9,魚
f292,オンデンザメ,9,魚
f293,コウモリダコ,9,頭足
f294,センジュナマコ,9,棘皮
f295,デメニギス,9,魚
f296,フクロウナギ,9,魚
f297,シーラカンス,10,魚
f298,ダイオウイカ,10,頭足
f299,リュウグウノツカイ,10,魚
f300,メガマウス,10,魚
